Crop Name,Scientific name,Seed Code,soil_type,irrigation_source,fertilizer_used,seed_type,weather_condition,ownership_type,loan_taken,insurance_status,pesticide_usage,last_sowing_date,expected_harvest_date
Rice,Oryza sativa,R6952,Saline,Tube Well,DAP,Certified,Heatwave,Leased,Yes,Enrolled,None,2024-10-04,2025-03-13
Sugarcane,Saccharum officinarum,S3673,Arid,Drip,Potash,F1 Hybrid,Excess Rain,Sharecropped,Yes,Enrolled,Low,2024-08-06,2025-01-05
Tur,Cajanus cajan,T6171,Saline,Drip,Urea,Certified,Dry Spell,Leased,No,Not Enrolled,Low,2025-03-20,2025-08-30
Soybean,Glycine max,S5395,Black,Rainfed,Vermicompost,Local,Drought,Sharecropped,Yes,Enrolled,High,2024-07-30,2025-01-02
Onion,Allium cepa,O8086,Alluvial,River,Vermicompost,F1 Hybrid,Drought,Sharecropped,No,Enrolled,None,2024-09-27,2025-02-28
Onion,Allium cepa,O5401,Laterite,None,Organic,Certified,Drought,Sharecropped,No,Not Enrolled,Low,2025-02-18,2025-07-23
Bajra,Pennisetum glaucum,B9108,Saline,River,Potash,Hybrid,Excess Rain,Leased,No,Not Enrolled,Medium,2024-06-29,2024-10-16
Soybean,Glycine max,S6754,Red,Rainfed,Organic,Local,Drought,Sharecropped,Yes,Not Enrolled,High,2024-07-12,2024-11-06
Millet,Various,M5842,Clayey,Tube Well,NPK,Local,Dry Spell,Owned,No,Not Enrolled,None,2025-02-08,2025-06-09
Jowar,Sorghum bicolor,J8090,Clayey,Canal,Urea,Local,Normal,Owned,No,Enrolled,Low,2025-03-12,2025-09-05
Soybean,Glycine max,S3923,Loamy,River,DAP,Hybrid,Normal,Owned,No,Enrolled,High,2024-09-03,2025-01-23
Rice,Oryza sativa,R1728,Saline,Sprinkler,Vermicompost,Certified,Dry Spell,Owned,Yes,Enrolled,None,2024-09-24,2025-02-27
Onion,Allium cepa,O1775,Laterite,Rainfed,Organic,Local,Normal,Sharecropped,Yes,Not Enrolled,Low,2025-02-24,2025-07-20
Bajra,Pennisetum glaucum,B8687,Arid,Drip,NPK,Certified,Flood,Leased,Yes,Enrolled,None,2024-06-30,2024-12-15
Onion,Allium cepa,O5908,Loamy,Drip,Compost,F1 Hybrid,Heatwave,Owned,Yes,Not Enrolled,Medium,2025-03-13,2025-07-28
Bajra,Pennisetum glaucum,B2414,Loamy,Sprinkler,NPK,Hybrid,Normal,Sharecropped,Yes,Enrolled,High,2024-08-24,2024-12-17
Cotton,Gossypium hirsutum,C2175,Arid,None,Compost,F1 Hybrid,Flood,Leased,No,Enrolled,Low,2024-08-18,2024-12-15
Gram,Cicer arietinum,G2465,Alluvial,None,Vermicompost,Certified,Heatwave,Sharecropped,No,Not Enrolled,Low,2024-12-08,2025-05-14
Sugarcane,Saccharum officinarum,S9671,Loamy,Sprinkler,DAP,F1 Hybrid,Dry Spell,Sharecropped,Yes,Not Enrolled,None,2024-08-08,2025-02-03
Rice,Oryza sativa,R7077,Clayey,None,Urea,F1 Hybrid,Normal,Owned,Yes,Enrolled,High,2025-02-20,2025-06-25
Potato,Solanum tuberosum,P2538,Laterite,None,Urea,Local,Heatwave,Owned,No,Not Enrolled,Medium,2025-01-12,2025-05-09
Jowar,Sorghum bicolor,J5791,Clayey,None,Potash,Hybrid,Drought,Sharecropped,Yes,Not Enrolled,Low,2025-02-06,2025-05-14
Rice,Oryza sativa,R5845,Red,Rainfed,Vermicompost,Certified,Heatwave,Owned,No,Not Enrolled,Medium,2024-09-21,2025-01-26
Bajra,Pennisetum glaucum,B3693,Black,Tube Well,DAP,Certified,Drought,Sharecropped,Yes,Not Enrolled,Low,2024-08-01,2025-01-10
Tur,Cajanus cajan,T5060,Laterite,Tube Well,Organic,F1 Hybrid,Normal,Leased,No,Not Enrolled,Low,2024-08-12,2024-11-29
Millet,Various,M9585,Clayey,River,Compost,F1 Hybrid,Flood,Owned,Yes,Not Enrolled,Low,2024-12-20,2025-06-16
Bajra,Pennisetum glaucum,B5340,Saline,None,NPK,Local,Heatwave,Sharecropped,No,Not Enrolled,Medium,2024-10-21,2025-03-26
Tur,Cajanus cajan,T4170,Saline,Sprinkler,NPK,Hybrid,Excess Rain,Leased,No,Not Enrolled,Low,2025-03-20,2025-07-07
Maize,Zea mays,M4325,Alluvial,Sprinkler,Organic,Certified,Excess Rain,Owned,Yes,Enrolled,Low,2024-09-05,2024-12-04
Rice,Oryza sativa,R5412,Laterite,Sprinkler,Potash,Local,Normal,Leased,No,Not Enrolled,High,2025-03-22,2025-06-23
Groundnut,Arachis hypogaea,G1290,Arid,Drip,Organic,F1 Hybrid,Heatwave,Owned,Yes,Enrolled,Low,2024-11-19,2025-05-15
Jowar,Sorghum bicolor,J6559,Laterite,River,Organic,Certified,Excess Rain,Sharecropped,No,Not Enrolled,None,2024-11-21,2025-03-30
Gram,Cicer arietinum,G9009,Laterite,Rainfed,Urea,Certified,Flood,Leased,Yes,Enrolled,None,2024-07-25,2024-11-27
Jowar,Sorghum bicolor,J2749,Arid,River,Vermicompost,Certified,Dry Spell,Sharecropped,Yes,Enrolled,None,2025-01-23,2025-07-14
Soybean,Glycine max,S3869,Loamy,Tube Well,Potash,Local,Drought,Leased,No,Enrolled,Low,2024-07-25,2025-01-10
Millet,Various,M7849,Black,Drip,NPK,F1 Hybrid,Drought,Sharecropped,No,Enrolled,High,2024-09-04,2025-01-06
Wheat,Triticum aestivum,W5454,Alluvial,None,Vermicompost,Certified,Normal,Leased,Yes,Enrolled,None,2024-12-23,2025-05-31
Potato,Solanum tuberosum,P6906,Arid,River,Organic,Local,Normal,Sharecropped,Yes,Not Enrolled,None,2024-09-13,2025-03-06
Onion,Allium cepa,O5859,Laterite,Tube Well,Potash,F1 Hybrid,Normal,Owned,No,Enrolled,Medium,2024-11-24,2025-04-29
Sugarcane,Saccharum officinarum,S6760,Alluvial,Sprinkler,Organic,Certified,Drought,Leased,Yes,Enrolled,Medium,2024-11-30,2025-03-10
Gram,Cicer arietinum,G6220,Black,Sprinkler,NPK,F1 Hybrid,Excess Rain,Leased,Yes,Not Enrolled,None,2024-07-22,2025-01-17
Potato,Solanum tuberosum,P3897,Laterite,Drip,DAP,F1 Hybrid,Drought,Leased,Yes,Enrolled,Low,2024-06-23,2024-10-29
Groundnut,Arachis hypogaea,G4059,Laterite,Tube Well,Organic,Hybrid,Excess Rain,Leased,Yes,Enrolled,None,2024-08-31,2025-01-14
Rice,Oryza sativa,R5923,Red,Canal,DAP,Local,Drought,Sharecropped,Yes,Not Enrolled,Low,2024-12-06,2025-04-28
Cotton,Gossypium hirsutum,C3959,Red,River,Organic,F1 Hybrid,Flood,Sharecropped,Yes,Enrolled,None,2024-12-20,2025-06-11
Maize,Zea mays,M5025,Clayey,Rainfed,Organic,Certified,Normal,Sharecropped,No,Enrolled,Medium,2024-10-21,2025-03-02
Jowar,Sorghum bicolor,J8721,Red,Drip,Urea,Certified,Flood,Leased,Yes,Not Enrolled,Low,2025-02-01,2025-06-19
Tur,Cajanus cajan,T2853,Clayey,Drip,Urea,Certified,Excess Rain,Leased,Yes,Not Enrolled,Medium,2024-11-17,2025-04-12
Tur,Cajanus cajan,T6376,Red,River,Vermicompost,Local,Excess Rain,Sharecropped,No,Enrolled,Medium,2025-02-26,2025-08-23
Tur,Cajanus cajan,T6278,Red,Sprinkler,Urea,Local,Heatwave,Owned,Yes,Not Enrolled,Medium,2024-06-25,2024-10-28
Bajra,Pennisetum glaucum,B9635,Red,None,DAP,Certified,Dry Spell,Sharecropped,Yes,Enrolled,None,2025-02-27,2025-06-24
Groundnut,Arachis hypogaea,G6818,Black,Sprinkler,Potash,F1 Hybrid,Flood,Owned,No,Enrolled,High,2025-01-02,2025-06-06
Bajra,Pennisetum glaucum,B4841,Arid,Rainfed,NPK,Hybrid,Dry Spell,Owned,No,Enrolled,High,2024-12-23,2025-06-17
Maize,Zea mays,M3211,Arid,Sprinkler,NPK,Certified,Dry Spell,Sharecropped,No,Enrolled,None,2024-09-25,2025-01-16
Wheat,Triticum aestivum,W4337,Alluvial,Rainfed,Organic,Certified,Dry Spell,Leased,Yes,Enrolled,High,2024-07-25,2024-11-25
Jowar,Sorghum bicolor,J7801,Loamy,Drip,NPK,Hybrid,Excess Rain,Leased,Yes,Enrolled,High,2024-08-30,2025-02-16
Bajra,Pennisetum glaucum,B7862,Laterite,River,Vermicompost,F1 Hybrid,Normal,Leased,Yes,Not Enrolled,None,2024-07-04,2024-11-01
Sugarcane,Saccharum officinarum,S6698,Clayey,Canal,Compost,Certified,Dry Spell,Sharecropped,No,Not Enrolled,High,2025-01-14,2025-07-02
Bajra,Pennisetum glaucum,B5391,Loamy,None,DAP,Hybrid,Dry Spell,Sharecropped,Yes,Not Enrolled,High,2024-10-05,2025-03-04
Maize,Zea mays,M3655,Laterite,Tube Well,Urea,Certified,Flood,Sharecropped,No,Not Enrolled,Medium,2024-09-12,2025-02-11
Maize,Zea mays,M3592,Black,None,Compost,F1 Hybrid,Excess Rain,Owned,Yes,Not Enrolled,Medium,2025-03-19,2025-07-06
Groundnut,Arachis hypogaea,G5634,Alluvial,Tube Well,Organic,F1 Hybrid,Dry Spell,Owned,Yes,Not Enrolled,High,2024-11-10,2025-03-07
Onion,Allium cepa,O1344,Loamy,River,DAP,Hybrid,Dry Spell,Leased,No,Not Enrolled,None,2024-07-09,2024-12-18
Cotton,Gossypium hirsutum,C9186,Arid,Sprinkler,DAP,Local,Dry Spell,Leased,No,Enrolled,None,2024-06-04,2024-09-23
Jowar,Sorghum bicolor,J8278,Red,None,DAP,Hybrid,Heatwave,Owned,No,Enrolled,Medium,2024-10-24,2025-02-18
Jowar,Sorghum bicolor,J2761,Saline,Rainfed,Potash,Hybrid,Dry Spell,Owned,Yes,Not Enrolled,None,2025-03-13,2025-07-23
Groundnut,Arachis hypogaea,G4082,Clayey,Tube Well,DAP,Certified,Normal,Owned,No,Not Enrolled,High,2024-07-15,2024-11-21
Wheat,Triticum aestivum,W7218,Saline,Tube Well,Compost,Local,Heatwave,Sharecropped,Yes,Not Enrolled,High,2025-01-09,2025-05-12
Tur,Cajanus cajan,T2933,Loamy,Drip,Urea,F1 Hybrid,Heatwave,Sharecropped,Yes,Enrolled,High,2024-07-18,2024-11-29
Sugarcane,Saccharum officinarum,S1536,Clayey,River,Potash,Hybrid,Heatwave,Sharecropped,No,Not Enrolled,High,2024-08-05,2024-12-07
Bajra,Pennisetum glaucum,B7632,Clayey,Rainfed,NPK,Local,Flood,Sharecropped,No,Enrolled,High,2024-07-09,2024-11-06
Tur,Cajanus cajan,T6299,Black,Canal,Compost,Hybrid,Normal,Sharecropped,No,Enrolled,Low,2024-07-24,2024-11-09
Wheat,Triticum aestivum,W3924,Saline,Tube Well,DAP,Hybrid,Flood,Leased,Yes,Enrolled,None,2024-09-23,2025-02-09
Tur,Cajanus cajan,T2216,Loamy,Sprinkler,Compost,Local,Flood,Owned,No,Not Enrolled,None,2024-06-03,2024-11-21
Jowar,Sorghum bicolor,J5574,Arid,Sprinkler,Compost,F1 Hybrid,Dry Spell,Sharecropped,No,Not Enrolled,Medium,2024-08-28,2025-01-03
Jowar,Sorghum bicolor,J5730,Arid,River,Potash,F1 Hybrid,Drought,Owned,No,Enrolled,Medium,2024-07-06,2024-12-05
Sugarcane,Saccharum officinarum,S8553,Black,Canal,Urea,Local,Dry Spell,Sharecropped,Yes,Enrolled,High,2024-08-02,2025-01-27
Soybean,Glycine max,S9344,Black,Sprinkler,Vermicompost,Certified,Heatwave,Owned,Yes,Enrolled,High,2025-01-16,2025-06-09
Maize,Zea mays,M1184,Laterite,Rainfed,NPK,F1 Hybrid,Heatwave,Leased,No,Enrolled,High,2024-07-13,2024-10-30
Bajra,Pennisetum glaucum,B6913,Clayey,Rainfed,Urea,Certified,Drought,Owned,No,Not Enrolled,High,2024-10-19,2025-02-12
Maize,Zea mays,M9850,Loamy,Canal,NPK,Certified,Excess Rain,Sharecropped,No,Not Enrolled,Low,2024-11-16,2025-03-01
Tur,Cajanus cajan,T3384,Clayey,None,Potash,Hybrid,Normal,Sharecropped,No,Enrolled,High,2025-02-10,2025-07-31
Jowar,Sorghum bicolor,J3039,Arid,Sprinkler,Vermicompost,F1 Hybrid,Heatwave,Sharecropped,Yes,Enrolled,High,2024-12-31,2025-04-08
Soybean,Glycine max,S5904,Saline,Tube Well,Urea,Local,Excess Rain,Owned,Yes,Enrolled,Medium,2025-01-14,2025-06-09
Sugarcane,Saccharum officinarum,S1415,Clayey,Canal,Compost,Hybrid,Excess Rain,Sharecropped,No,Enrolled,None,2024-12-05,2025-05-07
Onion,Allium cepa,O9516,Arid,Tube Well,Potash,Certified,Normal,Owned,No,Not Enrolled,None,2024-11-01,2025-04-29
Maize,Zea mays,M8570,Loamy,Sprinkler,Potash,Local,Normal,Owned,No,Enrolled,Low,2025-01-27,2025-05-30
Soybean,Glycine max,S9463,Black,Rainfed,DAP,Certified,Dry Spell,Leased,No,Not Enrolled,Low,2024-07-06,2024-11-12
Sugarcane,Saccharum officinarum,S7539,Red,Drip,Potash,F1 Hybrid,Heatwave,Sharecropped,No,Not Enrolled,Medium,2024-12-01,2025-05-06
Groundnut,Arachis hypogaea,G4551,Loamy,River,NPK,Hybrid,Normal,Sharecropped,No,Enrolled,None,2024-10-16,2025-01-28
Jowar,Sorghum bicolor,J2280,Red,Tube Well,Vermicompost,Local,Heatwave,Owned,No,Not Enrolled,Medium,2024-10-12,2025-03-02
Potato,Solanum tuberosum,P8354,Black,Drip,NPK,Certified,Dry Spell,Leased,No,Not Enrolled,High,2024-10-25,2025-02-06
Bajra,Pennisetum glaucum,B1190,Laterite,Sprinkler,Compost,Hybrid,Drought,Sharecropped,Yes,Not Enrolled,Medium,2024-07-11,2024-11-25
Maize,Zea mays,M6091,Arid,Tube Well,Organic,Certified,Dry Spell,Leased,Yes,Not Enrolled,Low,2024-06-23,2024-10-22
Rice,Oryza sativa,R2158,Arid,Sprinkler,NPK,F1 Hybrid,Dry Spell,Sharecropped,No,Enrolled,Low,2024-12-20,2025-05-23
Potato,Solanum tuberosum,P3601,Loamy,Sprinkler,DAP,Certified,Excess Rain,Leased,Yes,Enrolled,High,2024-07-20,2025-01-05
Potato,Solanum tuberosum,P7561,Arid,Canal,Potash,Hybrid,Drought,Owned,No,Enrolled,Medium,2024-11-11,2025-04-29
Groundnut,Arachis hypogaea,G1364,Laterite,River,Compost,Hybrid,Excess Rain,Owned,Yes,Not Enrolled,Medium,2025-03-19,2025-07-05
Bajra,Pennisetum glaucum,B1490,Arid,Sprinkler,Potash,F1 Hybrid,Flood,Leased,No,Enrolled,High,2025-02-12,2025-07-17
Cotton,Gossypium hirsutum,C7339,Red,River,Compost,Hybrid,Heatwave,Leased,Yes,Not Enrolled,Low,2025-03-12,2025-07-13
Millet,Various,M7383,Laterite,Sprinkler,Organic,F1 Hybrid,Normal,Owned,Yes,Not Enrolled,Medium,2024-08-26,2025-02-02
Groundnut,Arachis hypogaea,G4556,Arid,Tube Well,Urea,Local,Drought,Leased,Yes,Not Enrolled,Medium,2025-02-05,2025-07-01
Cotton,Gossypium hirsutum,C8377,Clayey,River,DAP,Local,Heatwave,Owned,Yes,Enrolled,None,2024-08-08,2025-01-05
Wheat,Triticum aestivum,W5309,Alluvial,None,NPK,Hybrid,Excess Rain,Sharecropped,Yes,Not Enrolled,None,2025-01-04,2025-07-01
Groundnut,Arachis hypogaea,G1168,Loamy,Drip,Compost,Certified,Flood,Sharecropped,No,Not Enrolled,None,2025-02-03,2025-05-24
Millet,Various,M4688,Arid,Rainfed,Potash,F1 Hybrid,Heatwave,Sharecropped,No,Enrolled,Medium,2025-03-21,2025-09-10
Wheat,Triticum aestivum,W8022,Black,Rainfed,DAP,Local,Dry Spell,Leased,Yes,Not Enrolled,Low,2025-02-24,2025-05-29
Rice,Oryza sativa,R9155,Black,Tube Well,Potash,Hybrid,Drought,Sharecropped,Yes,Enrolled,Low,2024-10-08,2025-04-05
Millet,Various,M4341,Clayey,Tube Well,Urea,F1 Hybrid,Excess Rain,Sharecropped,No,Not Enrolled,Medium,2024-10-20,2025-03-01
Jowar,Sorghum bicolor,J9277,Black,River,Compost,Local,Normal,Owned,Yes,Enrolled,High,2024-10-06,2025-03-22
Millet,Various,M3330,Clayey,None,Vermicompost,Hybrid,Heatwave,Leased,Yes,Enrolled,Low,2024-06-03,2024-09-09
Bajra,Pennisetum glaucum,B7158,Laterite,Rainfed,Potash,F1 Hybrid,Flood,Sharecropped,No,Not Enrolled,Low,2024-10-14,2025-02-09
Potato,Solanum tuberosum,P7269,Red,None,NPK,Certified,Excess Rain,Leased,Yes,Enrolled,High,2024-08-10,2025-02-06
Tur,Cajanus cajan,T7194,Clayey,River,NPK,Local,Drought,Sharecropped,No,Not Enrolled,None,2024-12-07,2025-04-03
Jowar,Sorghum bicolor,J6884,Clayey,River,Urea,Hybrid,Drought,Leased,No,Not Enrolled,High,2025-03-19,2025-08-28
Jowar,Sorghum bicolor,J3823,Red,None,Urea,F1 Hybrid,Heatwave,Leased,Yes,Not Enrolled,None,2024-07-03,2024-12-02
Bajra,Pennisetum glaucum,B3463,Laterite,Drip,Urea,Hybrid,Dry Spell,Sharecropped,Yes,Enrolled,Low,2024-10-09,2025-03-18
Tur,Cajanus cajan,T6083,Black,Tube Well,Urea,Certified,Dry Spell,Owned,No,Enrolled,Medium,2024-06-12,2024-11-14
Rice,Oryza sativa,R9366,Arid,River,Urea,F1 Hybrid,Excess Rain,Sharecropped,Yes,Not Enrolled,None,2024-12-25,2025-03-27
Jowar,Sorghum bicolor,J1495,Clayey,Rainfed,Vermicompost,Local,Normal,Sharecropped,No,Enrolled,High,2024-10-03,2025-03-30
Rice,Oryza sativa,R5422,Clayey,Tube Well,DAP,F1 Hybrid,Heatwave,Leased,No,Enrolled,None,2025-03-04,2025-07-17
Maize,Zea mays,M4933,Arid,Tube Well,Urea,Certified,Normal,Owned,Yes,Enrolled,High,2024-07-01,2024-11-29
Millet,Various,M9118,Loamy,Sprinkler,Compost,Hybrid,Heatwave,Owned,No,Not Enrolled,Low,2024-08-22,2024-12-15
Sugarcane,Saccharum officinarum,S1947,Red,None,Vermicompost,Certified,Flood,Owned,No,Enrolled,Low,2024-09-17,2024-12-25
Sugarcane,Saccharum officinarum,S1211,Red,Tube Well,Organic,Local,Dry Spell,Sharecropped,No,Enrolled,None,2024-08-21,2024-12-14
Potato,Solanum tuberosum,P2467,Arid,Drip,Urea,Local,Dry Spell,Leased,Yes,Not Enrolled,Medium,2024-11-25,2025-05-17
Rice,Oryza sativa,R1223,Loamy,Tube Well,Organic,Local,Heatwave,Owned,Yes,Enrolled,High,2024-07-24,2024-12-12
Groundnut,Arachis hypogaea,G1399,Arid,Canal,Compost,Hybrid,Normal,Sharecropped,No,Not Enrolled,High,2025-01-01,2025-05-11
Bajra,Pennisetum glaucum,B3966,Arid,Sprinkler,Vermicompost,Local,Flood,Leased,Yes,Enrolled,Low,2024-08-11,2025-01-29
Bajra,Pennisetum glaucum,B3714,Arid,Sprinkler,Vermicompost,F1 Hybrid,Excess Rain,Owned,Yes,Not Enrolled,High,2024-06-08,2024-11-17
Rice,Oryza sativa,R8403,Black,Sprinkler,Urea,Local,Excess Rain,Owned,No,Not Enrolled,High,2024-12-31,2025-06-23
Potato,Solanum tuberosum,P5030,Red,Tube Well,DAP,Hybrid,Heatwave,Sharecropped,No,Enrolled,Medium,2024-09-27,2025-01-10
Cotton,Gossypium hirsutum,C8245,Black,Sprinkler,Compost,Local,Drought,Sharecropped,No,Not Enrolled,Medium,2025-01-17,2025-07-07
Cotton,Gossypium hirsutum,C1508,Laterite,Canal,Organic,F1 Hybrid,Normal,Sharecropped,No,Enrolled,None,2024-08-18,2025-01-29
Sugarcane,Saccharum officinarum,S7938,Alluvial,Tube Well,Organic,Hybrid,Normal,Leased,No,Enrolled,Low,2024-12-27,2025-06-10
Groundnut,Arachis hypogaea,G1464,Clayey,Rainfed,DAP,Certified,Excess Rain,Sharecropped,Yes,Enrolled,Low,2025-01-07,2025-07-05
Tur,Cajanus cajan,T2020,Saline,Sprinkler,Urea,F1 Hybrid,Drought,Sharecropped,No,Enrolled,Low,2025-02-18,2025-05-28
Wheat,Triticum aestivum,W2793,Loamy,Canal,Potash,F1 Hybrid,Flood,Owned,No,Enrolled,Medium,2025-03-04,2025-08-14
Maize,Zea mays,M2572,Alluvial,Rainfed,Organic,Local,Dry Spell,Owned,No,Not Enrolled,Low,2024-08-11,2025-01-19
Rice,Oryza sativa,R7822,Loamy,Sprinkler,Potash,F1 Hybrid,Excess Rain,Owned,No,Not Enrolled,Medium,2025-03-10,2025-06-14
Onion,Allium cepa,O7854,Clayey,None,NPK,Certified,Normal,Sharecropped,Yes,Not Enrolled,Low,2024-09-17,2025-01-30
Millet,Various,M6972,Loamy,Drip,Urea,Local,Flood,Sharecropped,No,Not Enrolled,High,2024-10-06,2025-02-25
Sugarcane,Saccharum officinarum,S5186,Clayey,Tube Well,DAP,F1 Hybrid,Dry Spell,Owned,No,Enrolled,Medium,2024-06-16,2024-10-23
Wheat,Triticum aestivum,W2902,Clayey,Canal,Vermicompost,Certified,Normal,Owned,No,Enrolled,Medium,2025-02-14,2025-07-22
Potato,Solanum tuberosum,P4408,Saline,Drip,Organic,F1 Hybrid,Excess Rain,Sharecropped,Yes,Enrolled,Medium,2025-01-28,2025-07-25
Cotton,Gossypium hirsutum,C4695,Black,None,Urea,F1 Hybrid,Drought,Owned,Yes,Enrolled,Medium,2025-01-16,2025-06-11
Rice,Oryza sativa,R8471,Red,Canal,Urea,F1 Hybrid,Drought,Leased,Yes,Not Enrolled,Medium,2024-07-17,2024-10-27
Rice,Oryza sativa,R9902,Saline,River,Compost,Certified,Excess Rain,Sharecropped,No,Not Enrolled,None,2024-12-30,2025-05-23
Soybean,Glycine max,S4151,Loamy,River,Vermicompost,F1 Hybrid,Flood,Sharecropped,Yes,Enrolled,High,2024-12-16,2025-04-10
Wheat,Triticum aestivum,W7071,Laterite,Rainfed,Potash,Certified,Excess Rain,Sharecropped,Yes,Not Enrolled,Low,2024-07-28,2024-12-13
Sugarcane,Saccharum officinarum,S2558,Laterite,River,Organic,Local,Heatwave,Owned,Yes,Not Enrolled,High,2024-10-07,2025-02-03
Bajra,Pennisetum glaucum,B5489,Alluvial,Sprinkler,Compost,Hybrid,Drought,Owned,Yes,Not Enrolled,None,2024-10-20,2025-04-14
Jowar,Sorghum bicolor,J2752,Black,River,Potash,Certified,Heatwave,Owned,No,Not Enrolled,Low,2024-08-10,2024-12-25
Tur,Cajanus cajan,T7647,Laterite,Sprinkler,Potash,Local,Heatwave,Sharecropped,No,Enrolled,Medium,2025-01-24,2025-07-10
Maize,Zea mays,M7470,Arid,None,Organic,Certified,Heatwave,Sharecropped,Yes,Not Enrolled,None,2024-08-17,2024-12-23
Bajra,Pennisetum glaucum,B8746,Arid,Canal,Vermicompost,Local,Normal,Leased,No,Enrolled,None,2025-02-11,2025-06-05
Groundnut,Arachis hypogaea,G7320,Laterite,Tube Well,Organic,Local,Heatwave,Owned,Yes,Not Enrolled,Medium,2024-08-03,2024-12-05
Wheat,Triticum aestivum,W1440,Clayey,River,DAP,Hybrid,Dry Spell,Sharecropped,No,Not Enrolled,None,2025-03-26,2025-08-04
Bajra,Pennisetum glaucum,B8415,Clayey,None,Compost,Hybrid,Drought,Sharecropped,No,Enrolled,Low,2024-09-24,2025-03-19
Potato,Solanum tuberosum,P2495,Loamy,Sprinkler,NPK,F1 Hybrid,Drought,Sharecropped,No,Not Enrolled,None,2025-01-31,2025-07-06
Millet,Various,M6740,Saline,Sprinkler,DAP,Certified,Flood,Owned,No,Not Enrolled,Medium,2024-12-11,2025-05-26
Soybean,Glycine max,S2820,Red,Sprinkler,Urea,Hybrid,Excess Rain,Owned,Yes,Not Enrolled,None,2025-03-07,2025-08-10
Gram,Cicer arietinum,G2467,Laterite,Sprinkler,DAP,Local,Heatwave,Sharecropped,No,Not Enrolled,High,2024-07-14,2024-10-25
Groundnut,Arachis hypogaea,G7647,Laterite,Tube Well,Organic,F1 Hybrid,Flood,Leased,No,Enrolled,Low,2024-10-21,2025-02-20
Groundnut,Arachis hypogaea,G2305,Laterite,Canal,Organic,Hybrid,Normal,Owned,Yes,Not Enrolled,None,2024-06-11,2024-09-13
Onion,Allium cepa,O9795,Laterite,Sprinkler,Potash,Certified,Excess Rain,Leased,Yes,Not Enrolled,None,2025-02-15,2025-06-06
Millet,Various,M9648,Red,None,Compost,Local,Flood,Leased,No,Enrolled,None,2024-08-05,2025-01-10
Tur,Cajanus cajan,T6635,Clayey,Drip,Compost,Hybrid,Normal,Sharecropped,Yes,Not Enrolled,High,2024-10-21,2025-04-05
Millet,Various,M8299,Alluvial,Tube Well,Vermicompost,Certified,Flood,Owned,No,Not Enrolled,Low,2025-02-10,2025-08-04
Tur,Cajanus cajan,T5164,Black,River,Vermicompost,Hybrid,Drought,Leased,Yes,Not Enrolled,None,2024-07-11,2024-12-13
Millet,Various,M6232,Black,Tube Well,Urea,F1 Hybrid,Flood,Sharecropped,Yes,Enrolled,None,2024-09-13,2025-03-12
Tur,Cajanus cajan,T3940,Arid,Rainfed,Potash,Certified,Flood,Leased,Yes,Enrolled,High,2024-10-17,2025-02-20
Gram,Cicer arietinum,G4983,Saline,None,NPK,F1 Hybrid,Dry Spell,Leased,No,Enrolled,Low,2024-08-31,2025-01-22
Onion,Allium cepa,O6673,Red,Canal,DAP,Local,Heatwave,Owned,No,Not Enrolled,None,2024-07-08,2024-10-08
Maize,Zea mays,M1332,Alluvial,Drip,Urea,Certified,Dry Spell,Owned,No,Enrolled,Medium,2024-11-07,2025-03-27
Gram,Cicer arietinum,G9039,Arid,Canal,NPK,Local,Normal,Leased,Yes,Not Enrolled,Medium,2024-12-09,2025-05-31
Potato,Solanum tuberosum,P6208,Black,Canal,Organic,Hybrid,Heatwave,Owned,No,Not Enrolled,High,2024-06-01,2024-10-25
Millet,Various,M1555,Laterite,Canal,Urea,Certified,Drought,Sharecropped,No,Not Enrolled,None,2024-11-08,2025-02-27
Gram,Cicer arietinum,G6811,Loamy,Rainfed,Potash,Certified,Heatwave,Leased,Yes,Enrolled,Low,2024-12-26,2025-06-04
Bajra,Pennisetum glaucum,B2393,Red,Sprinkler,Potash,Hybrid,Drought,Owned,No,Enrolled,Medium,2025-02-04,2025-07-12
Millet,Various,M1779,Clayey,River,Organic,Hybrid,Excess Rain,Leased,No,Enrolled,Medium,2024-12-25,2025-05-26
Jowar,Sorghum bicolor,J7113,Saline,River,NPK,F1 Hybrid,Drought,Sharecropped,No,Not Enrolled,Medium,2025-01-26,2025-06-19
Soybean,Glycine max,S9592,Red,River,Organic,Hybrid,Drought,Sharecropped,No,Enrolled,None,2024-07-17,2024-11-10
Onion,Allium cepa,O6037,Red,River,NPK,F1 Hybrid,Normal,Sharecropped,Yes,Not Enrolled,None,2024-06-11,2024-10-13
Maize,Zea mays,M9327,Laterite,Rainfed,Vermicompost,Local,Dry Spell,Leased,Yes,Not Enrolled,Medium,2024-11-16,2025-04-26
Millet,Various,M7651,Loamy,Rainfed,Vermicompost,Certified,Dry Spell,Leased,No,Not Enrolled,None,2024-11-23,2025-02-24
Cotton,Gossypium hirsutum,C3235,Black,River,Compost,Hybrid,Excess Rain,Leased,Yes,Enrolled,None,2024-09-21,2025-02-01
Bajra,Pennisetum glaucum,B1530,Loamy,River,NPK,Local,Dry Spell,Owned,Yes,Enrolled,Medium,2024-09-29,2025-02-03
Sugarcane,Saccharum officinarum,S6617,Loamy,Tube Well,Compost,Hybrid,Excess Rain,Sharecropped,Yes,Enrolled,None,2024-11-29,2025-03-12
